ID,Title,Author,Abstract,Year,Venue,Search String
74,APITestGenie: Generating Web API Tests from Requirements and API Specifications with LLMs,André F. G. Pereira|Bruno Lima|João Pascoal Faria,"Modern software systems rely heavily on Web APIs, yet creating meaningful and executable test scripts remains a largely manual, time-consuming, and error-prone task. In this paper, we present APITestGenie, a novel tool that leverages Large Language Models (LLMs), Retrieval-Augmented Generation (RAG), and prompt engineering to automatically generate API integration tests directly from business requirements and OpenAPI specifications. We evaluated APITestGenie on 10 real-world APIs, including 8 APIs comprising circa 1,000 live endpoints from an industrial partner in the automotive domain. The tool was able to generate syntactically and semantically valid test scripts for 89\% of the business requirements under test after at most three attempts. Notably, some generated tests revealed previously unknown defects in the APIs, including integration issues between endpoints. Statistical analysis identified API complexity and level of detail in business requirements as primary factors influencing success rates, with the level of detail in API documentation also affecting outcomes. Feedback from industry practitioners confirmed strong interest in adoption, substantially reducing the manual effort in writing acceptance tests, and improving the alignment between tests and business requirements.",2026,ArXiv.org,String B
75,Req2Road: A GenAI Pipeline for SDV Test Artifact Generation and On-Vehicle Execution,Denesa Zyberaj|Lukasz Mazur|Pascal Hirmer|Nenad Petrović|Marco Aiello|Alois Knoll,"Testing functionality in Software-Defined Vehicles is challenging because requirements are written in natural language, specifications combine text, tables, and diagrams, while test assets are scattered across heterogeneous toolchains. Large Language Models and Vision-Language Models are used to extract signals and behavioral logic to automatically generate Gherkin scenarios, which are then converted into runnable test scripts. The Vehicle Signal Specification (VSS) integration standardizes signal references, supporting portability across subsystems and test benches. The pipeline uses retrieval-augmented generation to preselect candidate VSS signals before mapping. We evaluate the approach on the safety-relevant Child Presence Detection System, executing the generated tests in a virtual environment and on an actual vehicle. Our evaluation covers Gherkin validity, VSS mapping quality, and end-to-end executability. Results show that 32 of 36 requirements (89\%) can be transformed into executable scenarios in our setting, while human review and targeted substitutions remain necessary. This paper is a feasibility and architectural demonstration of an end-to-end requirements-to-test pipeline for SDV subsystems, evaluated on a CPDS case in simulation and Vehicle-in-the-Loop settings.",2026,arXiv (Cornell University),String B
76,APITestGenie: Generating Web API Tests from Requirements and API Specifications with LLMs,André F. G. Pereira|Bruno Lima|João Pascoal Faria,"Modern software systems rely heavily on Web APIs, yet creating meaningful and executable test scripts remains a largely manual, time-consuming, and error-prone task. In this paper, we present APITestGenie, a novel tool that leverages Large Language Models (LLMs), Retrieval-Augmented Generation (RAG), and prompt engineering to automatically generate API integration tests directly from business requirements and OpenAPI specifications. We evaluated APITestGenie on 10 real-world APIs, including 8 APIs comprising circa 1,000 live endpoints from an industrial partner in the automotive domain. The tool was able to generate syntactically and semantically valid test scripts for 89\% of the business requirements under test after at most three attempts. Notably, some generated tests revealed previously unknown defects in the APIs, including integration issues between endpoints. Statistical analysis identified API complexity and level of detail in business requirements as primary factors influencing success rates, with the level of detail in API documentation also affecting outcomes. Feedback from industry practitioners confirmed strong interest in adoption, substantially reducing the manual effort in writing acceptance tests, and improving the alignment between tests and business requirements.",2026,arXiv (Cornell University),String B
77,Taklif.AI: LLM-Powered Platform for Interest-Based Personalized College Assignments,Zaki Kurdya|Mohammed Zuqlam|Salem Amassi|Shady Telbany|Motaz Saad,"Educators face significant challenges in creating engaging, personalized assignments that accommodate students' diverse interests and cognitive abilities. Traditional one-size-fits-all assignments frequently lead to decreased student engagement and increased reliance on unethical practices such as plagiarism. To address these challenges, we present Taklif.AI, a platform that leverages Large Language Models (LLMs) to automatically generate personalized assignments tailored to individual student interests. Unlike existing AI-powered educational platforms that personalize based on academic performance metrics alone, Taklif.AI incorporates students' extracurricular interests and cultural contexts into the assignment generation process through a structured prompt engineering pipeline with input and output guardrails. The platform employs a serverless architecture on AWS with Next.js, using Llama 3.3 70B as the primary LLM via LiteLLM for multi-provider load balancing and LangChain for prompt orchestration. We describe the system architecture, the prompt design methodology, and the guardrails framework that ensures output quality. Preliminary user acceptance testing with 68 participants (65 students and 3 educators) indicates positive reception, with 84% of participants rating the personalization feature as beneficial. We discuss the platform's current capabilities and limitations, and outline directions for rigorous empirical evaluation of learning outcomes.",2026,ArXiv.org,String B
78,Taklif.AI: LLM-Powered Platform for Interest-Based Personalized College Assignments,Zaki Kurdya|Mohammed Zuqlam|Salem Amassi|Shady Telbany|Motaz Saad,"Educators face significant challenges in creating engaging, personalized assignments that accommodate students' diverse interests and cognitive abilities. Traditional one-size-fits-all assignments frequently lead to decreased student engagement and increased reliance on unethical practices such as plagiarism. To address these challenges, we present Taklif.AI, a platform that leverages Large Language Models (LLMs) to automatically generate personalized assignments tailored to individual student interests. Unlike existing AI-powered educational platforms that personalize based on academic performance metrics alone, Taklif.AI incorporates students' extracurricular interests and cultural contexts into the assignment generation process through a structured prompt engineering pipeline with input and output guardrails. The platform employs a serverless architecture on AWS with Next.js, using Llama 3.3 70B as the primary LLM via LiteLLM for multi-provider load balancing and LangChain for prompt orchestration. We describe the system architecture, the prompt design methodology, and the guardrails framework that ensures output quality. Preliminary user acceptance testing with 68 participants (65 students and 3 educators) indicates positive reception, with 84% of participants rating the personalization feature as beneficial. We discuss the platform's current capabilities and limitations, and outline directions for rigorous empirical evaluation of learning outcomes.",2026,arXiv (Cornell University),String B
79,Req2Road: A GenAI Pipeline for SDV Test Artifact Generation and On-Vehicle Execution,Denesa Zyberaj|Lukasz Mazur|Pascal Hirmer|Nenad Petrović|Marco Aiello|Alois Knoll,"Testing functionality in Software-Defined Vehicles is challenging because requirements are written in natural language, specifications combine text, tables, and diagrams, while test assets are scattered across heterogeneous toolchains. Large Language Models and Vision-Language Models are used to extract signals and behavioral logic to automatically generate Gherkin scenarios, which are then converted into runnable test scripts. The Vehicle Signal Specification (VSS) integration standardizes signal references, supporting portability across subsystems and test benches. The pipeline uses retrieval-augmented generation to preselect candidate VSS signals before mapping. We evaluate the approach on the safety-relevant Child Presence Detection System, executing the generated tests in a virtual environment and on an actual vehicle. Our evaluation covers Gherkin validity, VSS mapping quality, and end-to-end executability. Results show that 32 of 36 requirements (89\%) can be transformed into executable scenarios in our setting, while human review and targeted substitutions remain necessary. This paper is a feasibility and architectural demonstration of an end-to-end requirements-to-test pipeline for SDV subsystems, evaluated on a CPDS case in simulation and Vehicle-in-the-Loop settings.",2026,arXiv (Cornell University),String B
80,GenAI-based test case generation and execution in SDV platform,"Denesa Zyberaj|Łukasz Mazur|Nenad Petrović|Pankhuri Verma|Pascal Hirmer|Dirk Slama|Cheng, Xiangwei|Alois Knoll","This paper introduces a GenAI-driven approach for automated test case generation, leveraging Large Language Models and Vision-Language Models to translate natural language requirements and system diagrams into structured Gherkin test cases. The methodology integrates Vehicle Signal Specification modeling to standardize vehicle signal definitions, improve compatibility across automotive subsystems, and streamline integration with third-party testing tools. Generated test cases are executed within the digital.auto playground, an open and vendor-neutral environment designed to facilitate rapid validation of software-defined vehicle functionalities. We evaluate our approach using the Child Presence Detection System use case, demonstrating substantial reductions in manual test specification effort and rapid execution of generated tests. Despite significant automation, the generation of test cases and test scripts still requires manual intervention due to current limitations in the GenAI pipeline and constraints of the digital.auto platform.",2025,ArXiv.org,String B
81,Comparative Evaluation of Rule-Based and Large Language Models for Financial Transaction Extraction in Chatbots,Verdymas Atma Yulianto|Erba Lutfina|Galuh Wilujeng Saraswati,"The increasing use of digital financial services requires tools that allow users to record and manage personal financial transactions efficiently. However, many conventional applications still rely on form-based interfaces that may reduce user engagement in daily financial recording. This study evaluates a conversational personal financial recording system that uses natural language processing to convert informal user messages into structured transaction data. The system was developed using the prototyping method and implemented through a messaging-based interface, a backend service, and a natural language processing module. The evaluation used a dataset of 300 conversational financial messages annotated with intent, amount, and category. The study compares a rule-based baseline with two open-source large language models, using intent accuracy, entity extraction metrics, output validity, user acceptance testing, and the system usability scale. The results show that open-source large language models achieved the best performance across the natural language processing evaluation, with strong intent classification, high entity extraction quality, and complete output validity. The user acceptance testing involving 30 participants produced an average success rate of 97.3%, while the system usability scale score reached 82.5, indicating excellent usability. These findings suggest that prompt-constrained large language models can improve conversational financial recording by providing reliable structured extraction and an accessible user experience.",2026,SinkrOn,String B
82,A Semantic Space is Worth 256 Language Descriptions: Make Stronger Segmentation Models with Descriptive Properties,Junfei Xiao|Ziqi Zhou|Wenxuan Li|Shiyi Lan|Jieru Mei|Zhiding Yu|Alan Yuille|Yuyin Zhou|Cihang Xie,"This paper introduces ProLab, a novel approach using property-level label space for creating strong interpretable segmentation models. Instead of relying solely on category-specific annotations, ProLab uses descriptive properties grounded in common sense knowledge for supervising segmentation models. It is based on two core designs. First, we employ Large Language Models (LLMs) and carefully crafted prompts to generate descriptions of all involved categories that carry meaningful common sense knowledge and follow a structured format. Second, we introduce a description embedding model preserving semantic correlation across descriptions and then cluster them into a set of descriptive properties (e.g., 256) using K-Means. These properties are based on interpretable common sense knowledge consistent with theories of human recognition. We empirically show that our approach makes segmentation models perform stronger on five classic benchmarks (e.g., ADE20K, COCO-Stuff, Pascal Context, Cityscapes, and BDD). Our method also shows better scalability with extended training steps than category-level supervision. Our interpretable segmentation framework also emerges with the generalization ability to segment out-of-domain or unknown categories using only in-domain descriptive properties. Code is available at https://github.com/lambert-x/ProLab.",2023,arXiv (Cornell University),String B
83,cukereuse-subscenarios: paraphrase-robust subsequence mining and three-scope refactoring-candidate ranking for Cucumber/Gherkin,Ali Hassaan Mughal|Noor Fatima|Muhammad Bilal,"Reproduction package for Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM-Judge Baselines (Mughal, Fatima, Bilal, 2026; arXiv:2605.14568; under peer review at Software Quality Journal). The deposit ships the full paper-3 pipeline and its derived analytical artefacts: a slice inventory of every contiguous L-step window (L = 2..18) across 126,621 named scenarios in 339 repositories / 276 distinct upstream owners; exact-pattern recurrence counts under three scopes (within-file, within-repo, cross-organisational); a 200-slice author-labelled pool with a 60-slice overlap subset (Fleiss' κ = 0.560 / 0.788 on extraction-worthy / mechanism labels); XGBoost extraction-worthy and mechanism classifiers (5-fold OOF F1 = 0.891 / accuracy = 0.965); a rule-baseline comparison via McNemar's test; and an LLM-judge replication on the same 200-slice pool using two open-weight models via OpenRouter (openai/gpt-oss-120b, inclusionai/ling-2.6-1t). Contents: analysis/ (~153 MB derived artefacts — slices, cluster ids, exact-subsequence ranking, classifier predictions, per-fold metrics, corpus and population rollups, HTML candidate report), methodology/ (rubric, per-author labels, labelling pool, LLM-judge raw outputs and agreement metrics), scripts/ (21 numbered pipeline scripts), DATA_CARD.md (per-artefact provenance and schema), CITATION.cff, LICENSE (Apache-2.0), NOTICE, pyproject.toml, README.md. Not redistributed (regenerable from slices.parquet via scripts/04_slice_embedding_clustering.py): slice_embeddings.npz (820 MB) and cluster_embeddings.npz (89 MB). The shipped slice_clusters.parquet already carries the cluster ids those embeddings produced. This is paper 3 of a three-paper arc on test reuse in Cucumber-style BDD. Paper 1 (Mughal 2024) introduced three concrete reuse mechanisms in Cucumber-Java; paper 2 (cukereuse, github.com/amughalbscs16/cukereuse-release) measured step-level duplication on a 1.1M-step open corpus; paper 3 lifts the analysis from steps to contiguous step subsequences (slices), ranks them by refactoring suitability, and maps each surviving candidate to one of paper 1's three mechanisms.",2026,Open MIND,String B
84,IMPLEMENTASI FRAMEWORK REKAYASA KEBUTUHAN BERBASIS HUMAN-CENTERED AI PADA APLIKASI PENDAMPING EMOSI UNTUK KESEHATAN MENTAL,"Riri Annisatunnaza, -|Mochamad Iqbal Ardimansyah, -|Asyifa Imanda Septiana, -",,2025,Repository at Universitas Pendidikan Indonesia (Universitas Pendidikan Indonesia),String B
85,cukereuse-subscenarios: paraphrase-robust subsequence mining and three-scope refactoring-candidate ranking for Cucumber/Gherkin,Ali Hassaan Mughal|Noor Fatima|Muhammad Bilal,"Reproduction package for Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM-Judge Baselines (Mughal, Fatima, Bilal, 2026; arXiv:2605.14568; under peer review at Software Quality Journal). The deposit ships the full paper-3 pipeline and its derived analytical artefacts: a slice inventory of every contiguous L-step window (L = 2..18) across 126,621 named scenarios in 339 repositories / 276 distinct upstream owners; exact-pattern recurrence counts under three scopes (within-file, within-repo, cross-organisational); a 200-slice author-labelled pool with a 60-slice overlap subset (Fleiss' κ = 0.560 / 0.788 on extraction-worthy / mechanism labels); XGBoost extraction-worthy and mechanism classifiers (5-fold OOF F1 = 0.891 / accuracy = 0.965); a rule-baseline comparison via McNemar's test; and an LLM-judge replication on the same 200-slice pool using two open-weight models via OpenRouter (openai/gpt-oss-120b, inclusionai/ling-2.6-1t). Contents: analysis/ (~153 MB derived artefacts — slices, cluster ids, exact-subsequence ranking, classifier predictions, per-fold metrics, corpus and population rollups, HTML candidate report), methodology/ (rubric, per-author labels, labelling pool, LLM-judge raw outputs and agreement metrics), scripts/ (21 numbered pipeline scripts), DATA_CARD.md (per-artefact provenance and schema), CITATION.cff, LICENSE (Apache-2.0), NOTICE, pyproject.toml, README.md. Not redistributed (regenerable from slices.parquet via scripts/04_slice_embedding_clustering.py): slice_embeddings.npz (820 MB) and cluster_embeddings.npz (89 MB). The shipped slice_clusters.parquet already carries the cluster ids those embeddings produced. This is paper 3 of a three-paper arc on test reuse in Cucumber-style BDD. Paper 1 (Mughal 2024) introduced three concrete reuse mechanisms in Cucumber-Java; paper 2 (cukereuse, github.com/amughalbscs16/cukereuse-release) measured step-level duplication on a 1.1M-step open corpus; paper 3 lifts the analysis from steps to contiguous step subsequences (slices), ranks them by refactoring suitability, and maps each surviving candidate to one of paper 1's three mechanisms.",2026,Zenodo (CERN European Organization for Nuclear Research),String B
86,WebCompass: Towards Multimodal Web Coding Evaluation for Code Language Models,Xinping Lei|Xinyu Che|Junqi Xiong|Chenchen Zhang|Yukai Huang|Chenyu Zhou|Haoyang Huang|Minghao Liu|Letian Zhu|Hongyi Ye|Jinhua Hao|Ken Deng|Zizheng Zhan|Han Li|Dailin Li|Yifan Yao|Ming Sun|Zhaoxiang Zhang|Jiaheng Liu,"Large language models are rapidly evolving into interactive coding agents capable of end-to-end web coding, yet existing benchmarks evaluate only narrow slices of this capability, typically text-conditioned generation with static-correctness metrics, leaving visual fidelity, interaction quality, and codebase-level reasoning largely unmeasured. We introduce WebCompass, a multimodal benchmark that provides unified lifecycle evaluation of web engineering capability. Recognizing that real-world web coding is an iterative cycle of generation, editing, and repair, WebCompass spans three input modalities (text, image, video) and three task types (generation, editing, repair), yielding seven task categories that mirror professional workflows. Through a multi-stage, human-in-the-loop pipeline, we curate instances covering 15 generation domains, 16 editing operation types, and 11 repair defect types, each annotated at Easy/Medium/Hard levels. For evaluation, we adopt a checklist-guided LLM-as-a-Judge protocol for editing and repair, and propose a novel Agent-as-a-Judge paradigm for generation that autonomously executes generated websites in a real browser, explores interactive behaviors via the Model Context Protocol (MCP), and iteratively synthesizes targeted test cases, closely approximating human acceptance testing. We evaluate representative closed-source and open-source models and observe that: (1) closed-source models remain substantially stronger and more balanced; (2) editing and repair exhibit distinct difficulty profiles, with repair preserving interactivity better but remaining execution-challenging; (3) aesthetics is the most persistent bottleneck, especially for open-source models; and (4) framework choice materially affects outcomes, with Vue consistently challenging while React and Vanilla/HTML perform more strongly depending on task type.",2026,arXiv (Cornell University),String B
87,WebCompass: Towards Multimodal Web Coding Evaluation for Code Language Models,Xinping Lei|Xinyu Che|Junqi Xiong|Chenchen Zhang|Yukai Huang|Chenyu Zhou|Haoyang Huang|Minghao Liu|Letian Zhu|Hongyi Ye|Jinhua Hao|Ken Deng|Zizheng Zhan|Han Li|Dailin Li|Yifan Yao|Ming Sun|Zhaoxiang Zhang|Jiaheng Liu,"Large language models are rapidly evolving into interactive coding agents capable of end-to-end web coding, yet existing benchmarks evaluate only narrow slices of this capability, typically text-conditioned generation with static-correctness metrics, leaving visual fidelity, interaction quality, and codebase-level reasoning largely unmeasured. We introduce WebCompass, a multimodal benchmark that provides unified lifecycle evaluation of web engineering capability. Recognizing that real-world web coding is an iterative cycle of generation, editing, and repair, WebCompass spans three input modalities (text, image, video) and three task types (generation, editing, repair), yielding seven task categories that mirror professional workflows. Through a multi-stage, human-in-the-loop pipeline, we curate instances covering 15 generation domains, 16 editing operation types, and 11 repair defect types, each annotated at Easy/Medium/Hard levels. For evaluation, we adopt a checklist-guided LLM-as-a-Judge protocol for editing and repair, and propose a novel Agent-as-a-Judge paradigm for generation that autonomously executes generated websites in a real browser, explores interactive behaviors via the Model Context Protocol (MCP), and iteratively synthesizes targeted test cases, closely approximating human acceptance testing. We evaluate representative closed-source and open-source models and observe that: (1) closed-source models remain substantially stronger and more balanced; (2) editing and repair exhibit distinct difficulty profiles, with repair preserving interactivity better but remaining execution-challenging; (3) aesthetics is the most persistent bottleneck, especially for open-source models; and (4) framework choice materially affects outcomes, with Vue consistently challenging while React and Vanilla/HTML perform more strongly depending on task type.",2026,arXiv (Cornell University),String B
88,BoomMapper: An Innovative Web-Based System for Transforming PowerPoint Presentations into Mind Maps,Christina Low|Vinothini Kasinathan|Aida Mustapha,,2025,Communications in computer and information science,String B
89,Automatic Test Case Generation Mechanism With Natural Language-Based Korean Requirement Specifications,Woosung Jang|R. Young Chul Kim,"In the software industry, software testers are forced to make test cases with informal or formal requirements. From a software perspective, to conduct user acceptance testing, we should manually create numerous test cases to achieve the desired test coverage based on a precise analysis of clear and unstructured requirements. Until now, defining and analyzing the meaning of natural language-based requirements has been challenging, and automating this process has also been complex. In software engineering, rare research generates test cases with natural language requirement sentences, especially in Korea. To solve this problem, we propose a mechanism for automatically generating test cases from natural language requirements, as used by software engineers. This approach involves (1) simplifying unstructured Korean requirements, (2) normalizing requirement sentences, (3) modeling the requirement simplification process (C3Tree modeling), (4) automatically generating cause-effect graph model, and then test cases via decision table model with the graph models through metamodel transformation methods, (5) semi-automatic generation of test scripts, (6) generating test result reports, and (7) finally automatic generation of requirement traceability matrices. Ultimately, simplifying unstructured Korean requirements sentences facilitates understanding of requirements among stakeholders and reduces testing costs. At this moment, we will compare the exact way in which the test case generation approach and generative AI-based test case generation are created.",2025,IEEE Access,String B
90,GIFT: A Framework Towards Global Interpretable Faithful Textual Explanations of Vision Classifiers,Éloi Zablocki|Valentin Gerard|Amaia Cardiel|Éric Gaussier|Matthieu Cord|Eduardo Valle,"Understanding the decision processes of deep vision models is essential for their safe and trustworthy deployment in real-world settings. Existing explainability approaches, such as saliency maps or concept-based analyses, often suffer from limited faithfulness, local scope, or ambiguous semantics. We introduce GIFT, a post-hoc framework that aims to derive Global, Interpretable, Faithful, and Textual explanations for vision classifiers. GIFT begins by generating a large set of faithful, local visual counterfactuals, then employs vision-language models to translate these counterfactuals into natural-language descriptions of visual changes. These local explanations are aggregated by a large language model into concise, human-readable hypotheses about the model's global decision rules. Crucially, GIFT includes a verification stage that quantitatively assesses the causal effect of each proposed explanation by performing image-based interventions, ensuring that the final textual explanations remain faithful to the model's true reasoning process. Across diverse datasets, including the synthetic CLEVR benchmark, the real-world CelebA faces, and the complex BDD driving scenes, GIFT reveals not only meaningful classification rules but also unexpected biases and latent concepts driving model behavior. Altogether, GIFT bridges the gap between local counterfactual reasoning and global interpretability, offering a principled approach to causally grounded textual explanations for vision models.",2024,arXiv (Cornell University),String B
91,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,Sanderson Oliveira de Macedo|Ronaldo Martins da Costa,"Legacy systems concentrate business rules, architectural decisions, and operational exceptions that often remain implicit in code, data, configuration, and maintenance practices. At the same time, language-model-based coding agents depend on reliable context, correctness criteria, and behavioral contracts to modify real systems with lower risk. This paper presents Reversa, a reverse documentation engineering framework for converting legacy software into traceable operational specifications for AI agents. Reversa organizes this process as a multi-agent pipeline: specialized agents map the project surface, analyze modules, extract implicit rules, synthesize architecture, write unit-level specifications, and review generated claims. The proposal emphasizes three mechanisms: traceability between code and specification, explicit confidence marking, and preservation of gaps for human validation. The framework is distributed as a Node.js CLI, installs skills across multiple agent engines, and uses a SHA-256 manifest to preserve modified files during update or uninstall operations. In addition to the architectural description, we report an exploratory case study on migrating an ATM from COBOL to Go, in which the pipeline produced 517 claims classified by an internal confidence index, 10 registered gaps, 53 Gherkin parity scenarios, and a reconstruction plan with 9 of 11 tasks completed at inventory time. Final parity validation and cutover were not completed in this study. We do not claim broad empirical superiority; we position the contribution with respect to the literature on reverse engineering, LLM-based documentation, and software agents, and propose an evaluation protocol with metrics for coverage, traceability, confidence, utility, and cost.",2026,ArXiv.org,String B
92,Reversa: A Reverse Documentation Engineering Framework for Converting Legacy Software into Operational Specifications for AI Agents,Sanderson Oliveira de Macedo|Ronaldo Martins da Costa,"Legacy systems concentrate business rules, architectural decisions, and operational exceptions that often remain implicit in code, data, configuration, and maintenance practices. At the same time, language-model-based coding agents depend on reliable context, correctness criteria, and behavioral contracts to modify real systems with lower risk. This paper presents Reversa, a reverse documentation engineering framework for converting legacy software into traceable operational specifications for AI agents. Reversa organizes this process as a multi-agent pipeline: specialized agents map the project surface, analyze modules, extract implicit rules, synthesize architecture, write unit-level specifications, and review generated claims. The proposal emphasizes three mechanisms: traceability between code and specification, explicit confidence marking, and preservation of gaps for human validation. The framework is distributed as a Node.js CLI, installs skills across multiple agent engines, and uses a SHA-256 manifest to preserve modified files during update or uninstall operations. In addition to the architectural description, we report an exploratory case study on migrating an ATM from COBOL to Go, in which the pipeline produced 517 claims classified by an internal confidence index, 10 registered gaps, 53 Gherkin parity scenarios, and a reconstruction plan with 9 of 11 tasks completed at inventory time. Final parity validation and cutover were not completed in this study. We do not claim broad empirical superiority; we position the contribution with respect to the literature on reverse engineering, LLM-based documentation, and software agents, and propose an evaluation protocol with metrics for coverage, traceability, confidence, utility, and cost.",2026,arXiv (Cornell University),String B
93,D3.10 G2 of the AIDAVA prototype,Daniel Dallos|Béla Bihari|Isabelle de Zegher|Remzi Çelebi|Ensar Emir Erol,"Generation 2 (G2) of the AIDAVA project continued the product-oriented development approach established during Generation 1 (G1), ensuring a seamless transition from prototype to near-market solution. The GND team adhered to a structured Software Development Life Cycle (SDLC) while leveraging agile methodologies, iterative delivery, and continuous user feedback. Key enhancements in G2 included expanded automated testing, updated internal tools and libraries, and improved system robustness and scalability.User-centric design remained a priority, with significant UI/UX improvements for patients and a strengthened backend to support complex workflows and integration of curation and publishing tools. Deployment pipelines and CI/CD practices were further refined, including expanded hardware requirements to accommodate LLM-based components. The testing strategy evolved to include rigorous module, integration, and regression tests, complemented by manual and user acceptance testing with patient consultants.By the end of G2, the system offered a more stable, maintainable, and user-friendly platform, supported by multiple development and production environments, and validated deployment processes. The project successfully balanced technical complexity with intuitive user experience, advancing toward a reliable, near-market prototype.",2025,Zenodo (CERN European Organization for Nuclear Research),String B
94,D3.10 G2 of the AIDAVA prototype,Daniel Dallos|Béla Bihari|Isabelle de Zegher|Remzi Çelebi|Ensar Emir Erol,"Generation 2 (G2) of the AIDAVA project continued the product-oriented development approach established during Generation 1 (G1), ensuring a seamless transition from prototype to near-market solution. The GND team adhered to a structured Software Development Life Cycle (SDLC) while leveraging agile methodologies, iterative delivery, and continuous user feedback. Key enhancements in G2 included expanded automated testing, updated internal tools and libraries, and improved system robustness and scalability.User-centric design remained a priority, with significant UI/UX improvements for patients and a strengthened backend to support complex workflows and integration of curation and publishing tools. Deployment pipelines and CI/CD practices were further refined, including expanded hardware requirements to accommodate LLM-based components. The testing strategy evolved to include rigorous module, integration, and regression tests, complemented by manual and user acceptance testing with patient consultants.By the end of G2, the system offered a more stable, maintainable, and user-friendly platform, supported by multiple development and production environments, and validated deployment processes. The project successfully balanced technical complexity with intuitive user experience, advancing toward a reliable, near-market prototype.",2025,Zenodo (CERN European Organization for Nuclear Research),String B
95,Taskflow: a productivity app with a conversational multi-agent AI chatbot,Boslyn Pang,,2026,DR-NTU (Nanyang Technological University),String B
